Rowid_,VALUE_,COUNT_,FAOSOIL
,720,132,Xh50-2a
,721,236,Ge40-3a
,722,48,Po10-2bc
,723,46,La10-2a
,724,73,Hl34-2ab
,725,332,Bc27-2/3bc
,726,112,Re17-1ab
,727,240,Xl23-2ab
,728,87,Ck9-2a
,729,301,Kh16-2abc
,730,135,Pl7-1bc
,731,47,Rc48-1ab
,732,271,De3-2ab
,733,274,De2-2ab
,734,467,Rc3-2c
,735,71,Sm15-3a
,736,662,Xl19-2b
,737,13,Gm16-1/2a
,738,59,Th20-2bc
,739,34,Kh14-2a
,740,41,Vp69-3a
,741,241,Po13-2bc
,742,714,Cl13-2a
,743,666,Ah3-2bc
,744,109,Cl3-1ab
,745,724,Ck10-2ab
,746,136,Hc5-2/3a
,747,15,Hl46-2a
,748,594,Hg6-2/3a
,749,219,Bd73-2b
,750,149,Hl21-2ab
,751,279,Rc9-2b
,752,63,So18-2a
,753,148,Xl17-1a
,754,230,Hl45-1/3ab
,755,23,Yk1-2a
,756,20,Hh24-2/3c
,757,266,E24-2c
,758,1709,I-Xl-2c
,759,91,Lc46-2/3b
,760,366,Zo16-3a
,761,85,I-E-2c
,762,48,Lo22-2bc
,763,2595,Kl1-2a
,764,21,Gh22-2/3a
,765,1639,Yh11-2ab
,766,53,Lo88-2/3b
,767,1330,Po13-1b
,768,20,Pg5-2c
,769,350,Zg6-3a
,770,615,Bd77-1/2bc
,771,253,Ge43-3a
,772,293,Xl21-2a
,773,49,Bc51-3ab
,774,205,Hh22-2/3a
,775,107,Xh9-2a
,776,13,Zg18-2a
,777,4,Ge42-3a
,778,27,Kl25-3a
,779,112,Hc4-1a
,780,478,Po15-1c
,781,151,Jc53-2a
,782,53,Yh29-2a
,783,137,Lo20-2a
,784,19,Gd30-3bc
,785,500,Rc13-2b
,786,101,Oe1-3a
,787,403,Po6-1a
,788,68,Zo31-2/3a
,789,210,Po20-1ab
,790,57,Wd4-2ab
,791,844,Yh2-2b
,792,404,Yk44-3a
,793,46,Re21-1ab
,794,107,Bd3-1b
,795,28,Y1-2a
,796,459,Xh2-2b
,797,29,Be145-2ab
,798,551,Yh28-2b
,799,19,Ge11-3ab
,800,255,Po13-1/2b
,801,18,Zo34-3a
,802,270,Kl7-2c
,803,157,Cl6-2a
,804,309,Lo10-2a
,805,79,Gd9-1a
,806,246,Hl24-2c
,807,13,Yt3-2b
,808,17,Bd12-1b
,809,387,Be130-2/3bc
,810,78,Lg42-2b
,811,15,Be124-2/3b
,812,351,Hl29-2bc
,813,15,Jd1-3a
,814,62,I-Dd-c
,815,39,Be12-2/3a
,816,52,Lo87-3b
,817,143,Yk1-1b
,818,106,Be129-1/2b
,819,556,Be128-2/3bc
,820,2171,I-Yh-2c
,821,513,Bd68-2bc
,822,116,Kh19-2b
,823,761,Lo23-2ab
,824,50,Be13-2a
,825,43,Xl1-3b
,826,37,Re23-1a
,827,143,Po11-2bc
,828,64,Dg6-2ab
,829,2059,Yk43-3ab
,830,201,Yt6-3a
,831,482,Lo17-2a
,832,201,Be133-2/3a
,833,195,Rc52-2/3bc
,834,88,Be12-2a
,835,82,Xh8-1b
,836,23,Pl8-1/2bc
,837,181,Lo71-3ab
,838,10,Bh27-1/2bc
,839,228,Po7-1b
,840,22,Hg10-2a
,841,401,Kh35-2ab
,842,143,Be1-2a
,843,59,Yh30-2b
,844,403,I-Bc-Lc-2b
,845,129,Ge39-3a
,846,72,Yh29-2b
,847,211,Bh7-2c
,848,24,Sg2-3a
,849,37,Lc108-2b
,850,313,La29-2c
,851,47,Gm31-2/3a
,852,18,Po2-1/2b
,853,291,Kh8-3b
,854,785,I-Bd-Lo-To-2c
,855,62,Hl20-2a
,856,851,Hh4-2a
,857,690,Xk4-2b
,858,164,Ch18-3a
,859,48,Ge69-2/3a
,860,197,Je79-2/3a
,861,1816,Yy14-a
,862,56,Lg47-2/3ab
,863,230,Lo9-2b
,864,202,Hl32-2c
,865,61,Yt3-2a
,866,93,Kl24-2ab
,867,61,Be43-2c
,868,30,Jc61-a
,869,847,Yt3-3a
,870,79,Po11-1/2b
,871,8,Po20-1a
,872,101,Yh6-2a
,873,537,I-Lc-E-2bc
,874,18,Ge71-2/3a
,875,241,Re61-1ab
,876,42,Kk17-2a
,877,630,Rc10-2bc
,878,38,Oe6-3a
,879,1149,I-Yk-2c
,880,126,Pl1-2a
,881,461,Xl3-2ab
,882,74,I-Lo-Bc-2ab
,883,16,Bc2-2a
,884,342,Kh9-3b
,885,336,Lc105-2/3ab
,886,8,Yk43-2b
,887,115,Yh31-2a
,888,74,Xl8-2ab
,889,600,Lo18-2bc
,890,173,Rc12-2abc
,891,14,Be18-2a
,892,9,Ge43-2a
,893,37,Be13-2bc
,894,37,Xl21-1b
,895,151,La1-1/2a
,896,102,Pl3-2a
,897,1015,I-Bk-2bc
,898,148,Lo16-3a
,899,11,Po14-2a
,900,653,Kl28-2ab
,901,365,Pl2-1b
,902,147,La8-2abc
,903,44,Lc111-2ab
,904,23,Yk47-3a
,905,78,E26-2/3ab
,906,40,Ck1-3b
,907,499,I-Bd-2c
,908,257,Vp68-3a
,909,16,Be128-2/3b
,910,63,U3-2c
,911,13,Bc1-2a
,912,27,Kl4-1b
,913,1907,Yh26-2b
,914,289,Hl9-2ab
,915,28,La27-3a
,916,146,Xh2-1b
,917,28,Yh2-1b
,918,51,Xl1-2b
,919,136,Be1-2b
,920,339,Kl16-2c
,921,868,I-Xk-2c
,922,296,Yk1-2b
,923,177,Be143-2/3ab
,924,23,De1-2a
,925,25,La1-1/2b
,926,121,Gd8-2a
,927,53,Xh6-2a
,928,264,Re86-2/3b
,929,80,La1-2a
,930,73,Yh11-1b
,931,7,La1-1b
,932,236,Hh2-2a
,933,17,Bc21-2b
,934,237,Xk5-2ab
,935,167,Xl9-2a
,936,139,Cl4-2abc
,937,248,Zt2-3a
,938,504,To16-2/3b
,939,343,Kl44-2/3ab
,940,601,Lo8-2a
,941,89,Ge49-2/3a
,942,3112,I-Bc-2c
,943,182,Ch20-2/3ab
,944,703,I-H-2c
,945,114,Lc103-2ab
,946,65,Ao110-2a
,947,990,Lo13-2a
,948,51,Kl46-2a
,949,6,Dd4-2c
,950,84,Bd20-2a
,951,105,Xl7-2ab
,952,175,Ao37-2bc
,953,108,Re21-1a
,954,47,Tv32-2b
,955,12,La31-1a
,956,400,I-K-U-1/2bc
,957,230,U4-2bc
,958,874,Bh25-2bc
,959,37,Bc3-2a
,960,54,Re85-2b
,961,60,Yk4-2a
,962,19,Yk44-2b
,963,55,So4-2a
,964,153,Hh1-1a
,965,156,I-Bc-Bh-2c
,966,1660,Bk45-2bc
,967,2218,Gm25-2/3a
,968,99,Kl1-1a
,969,113,La31-1/2a
,970,1363,Bc28-2b
,971,796,Xl4-2ac
,972,168,Bd3-2c
,973,53,K1-3a
,974,23,Pl4-1c
,975,1168,Lc104-2/3bc
,976,36,Bk32-2/3c
,977,82,Xh7-1/2a
,978,386,Kl1-2bc
,979,447,Gc4-3a
,980,3817,I-X-2c
,981,85,Lo77-2bc
,982,11,Yh41-2ab
,983,1145,Bk47-2/3b
,984,60,Gm3-2a
,985,1200,Zo37-a
,986,293,Lo19-2a
,987,140,Lg18-2a
,988,148,Yt4-3a
,989,778,Hl22-2a
,990,452,Bd20-2abc
,991,196,Bd20-2b
,992,288,Zo26-3a
,993,224,Be131-1/2bc
,994,118,Yk37-2a
,995,134,Hh7-2ab
,996,239,Bg10-2a
,997,128,Tm25-2bc
,998,19,Lc107-2/3a
,999,585,Hg2-2a
,1000,34,Lo14-1a
,1001,229,Kl23-2/3bc
,1002,246,I-Rc-Xk-2c
,1003,705,Y1-2b
,1004,10,Vc19-3a
,1005,84,Gm23-2/3a
,1006,417,Zg17-2/3a
,1007,118,Bc46-3a
,1008,280,Bd3-2abc
,1009,36,Pl2-2ab
,1010,47,Zt1-3a
,1011,98,Kh7-2ab
,1012,874,Ao39-2c
,1013,472,I-Bh-c
,1014,16,To17-2b
,1015,201,Bk48-2/3b
,1016,129,Hh1-2ab
,1017,212,Hl30-2ab
,1018,5667,I-Y-2c
,1019,19,Lg52-2a
,1020,505,Gm26-2/3a
,1021,310,Bk49-2c
,1022,410,Hl33-2c
,1023,13,I-Bc-Bh-c
,1024,370,Yt8-3a
,1025,86,Yt4-2a
,1026,156,Ao111-2bc
,1027,50,I-Be-T-2c
,1028,49,Vp70-3a
,1029,3364,ROCK
,1030,333,Yl6-2ac
,1031,516,Hl15-2a
,1032,34,Xy6-2/3b
,1033,28,Bd23-2b
