Latitude,Longitude,MAT,MAP
-20.75,-44.75,19.38,1653.98
20.75,44.75,27.94,137.57
-20.75,44.75,25.37,830.63
-89.25,-139.75,-49,9.83
-89.25,139.75,-49.7,9.53
35.25,108.75,9.26,632.02
60.75,40.25,1.91,666.12
60.75,-149.25,2.03,1905.27
60.75,149.25,-10.36,406.87
-32.25,138.75,16.12,258.6
27.75,97.25,15.57,3322.11
30.25,-101.75,19.99,391.53
30.25,101.75,-0.29,876.5
38.75,-122.75,10.78,1001.49
5.25,96.75,27.54,1392.82
-21.25,145.25,23.97,503.91
53.75,-124.25,-0.23,495.65
53.75,124.25,-4.94,420.51
33.75,-87.75,16.47,1424.77
-3.25,-41.25,28.03,933.51
3.25,41.25,27.86,313.1
33.75,87.75,-4.43,310.03
71.25,-22.25,-4.3,379.01
-71.25,22.25,-18.99,331.4
49.75,139.75,-2.54,600.93
-26.25,-54.25,19.61,1717.48
52.75,-95.25,-0.08,480.16
52.75,95.25,-6.26,551.79
